#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
0000-01-01,59.13,49.8125,48.42857143,72.15,65.21304348,84.42727273,55.95833333,46.7,49.64285714,48.43125,13.12852632,7.575054348,12.08527473,18.71205882,7.898458498,71.58018182,7.602651515,8.736,12.53357143,4.187625,3.623330832,2.752281662,3.476388172,4.325743731,2.81041963,8.460507184,2.757290611,2.955672512,3.540278439,2.046368735
0000-02-01,49.41,34.34583333,36.15,86.35555556,68.64782609,105.4181818,53.51666667,32.98125,38.32380952,33.39375,155.5441053,4.029547101,18.46884615,60.67084967,90.02442688,94.06363636,67.11606061,3.160291667,26.50890476,3.591291667,12.47173225,2.007373184,4.297539547,7.789149483,9.488120303,9.698640954,8.192439234,1.777720919,5.148679905,1.895070359
0000-03-01,59.66,48.4125,51.87857143,74.37777778,66.83913043,77.13636364,54.73333333,47.86875,50.2952381,47.7125,13.03936842,0.808967391,5.234120879,25.14300654,14.0243083,27.62054545,14.42787879,1.712958333,1.76047619,0.473166667,3.611006566,0.899426146,2.287820115,5.014280261,3.744904311,5.255525231,3.798404769,1.308800341,1.326829375,0.687871112
0000-04-01,77.505,68.09583333,72.18571429,86.91666667,81.86956522,95.13636364,77.29166667,65.73125,72.03809524,63.225,5.587868421,5.688242754,8.021318681,7.088529412,2.556758893,12.02854545,2.088106061,6.224958333,3.92747619,5.723333333,2.36386726,2.385003722,2.832193263,2.662429231,1.598986833,3.468219349,1.445028048,2.49498664,1.981786111,2.392348915
0000-05-01,94.245,79.05833333,87.41428571,104.4222222,97.84782609,111.0727273,89.39166667,77.45625,85.14761905,74.69375,8.038394737,6.706884058,20.60285714,34.22300654,24.27351779,19.09218182,16.59719697,16.37995833,7.948619048,8.164625,2.835206295,2.589765252,4.539037028,5.850043294,4.926816192,4.369460129,4.073965755,4.047216121,2.819329539,2.857380794
0000-06-01,76.94,64.50416667,70.62142857,80.02222222,79.25652174,79.99090909,76.725,61.025,71.87619048,59.1,8.925684211,18.28911232,25.28489011,0.908888889,1.164387352,0.172909091,0.898409091,5.538,11.06790476,2.478666667,2.98758836,4.276577173,5.028408308,0.953356643,1.079067816,0.415823389,0.947844444,2.353295562,3.326846068,1.574378184
0000-07-01,128.38,113.2875,120.5357143,138.1222222,133.5695652,137.0818182,128.2916667,111.2,119.052381,109.775,5.434315789,6.12375,18.69785714,5.860653595,4.069486166,2.011636364,7.235378788,5.565333333,12.58861905,2.27,2.331161897,2.474621183,4.324101889,2.420878682,2.017296747,1.418321671,2.689865942,2.359095872,3.548044398,1.506651917
0000-08-01,168.215,151.1916667,157.0785714,208.4166667,181.8217391,219.6090909,159.0916667,150.6875,151.5571429,150.10625,44.49397368,29.31731884,24.71104396,111.7473529,55.60359684,18.48090909,61.04628788,15.81983333,19.13657143,18.56195833,6.670380325,5.414546965,4.971020414,10.57106205,7.456781936,4.298942788,7.813212392,3.977415409,4.37453671,4.308359123
