#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2015/1/1,66.00012629,58.68166769,56.10313533,79.45835902,73.02279108,92.58964834,64.70670606,55.20450185,56.99837344,56.60329156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/2/1,88.56915835,67.64916715,69.01483232,131.7441316,112.6038175,151.7448303,91.5009313,64.38964222,71.04888385,65.80450843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/3/1,103.5854969,87.83530023,91.66856215,126.3741423,115.789094,130.1379303,98.41378401,84.69234274,89.23414598,84.25112753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/4/1,102.9789123,90.24773648,95.50550983,116.4063394,110.4055662,126.3344793,105.0145249,88.20682756,96.15955604,85.98491888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,148.2096243,130.2886348,140.3556836,155.833849,151.6589353,162.6655252,146.0637804,125.8162947,138.8952749,122.7150809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/6/1,85.22279906,71.77363204,78.3533927,89.03624423,88.08359183,90.71380069,84.7152736,68.57785256,78.37784747,67.01403905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/7/1,298.0448314,269.8695366,282.9539,311.9082033,304.9021312,302.4206934,291.0252354,262.4322821,277.0679384,263.2582443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/8/1,66.22298961,59.59821479,62.13745854,77.15171632,70.20190887,78.05862103,63.49078214,58.8954212,60.60157565,58.14020878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/9/1,399.9266752,390.6228714,393.4386403,417.4445389,401.6133546,412.6827676,385.5729088,380.0613447,385.33307,373.0426324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/10/1,47.49955747,39.63738196,40.66330423,66.3800622,56.48015402,72.38965969,48.39748706,39.33160611,41.07393385,39.08214812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/11/1,161.6076639,151.6362515,150.981694,182.4810054,172.9965087,190.5034607,160.2417172,147.6330325,151.186739,145.4149066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/1,107.3860023,109.9916061,102.8519502,114.7590897,113.3785751,131.7620771,111.9046565,108.0311594,105.7621479,109.9792012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/1/1,63.57992598,56.61012004,54.22839111,76.13893935,70.16799537,89.72759069,62.18994561,53.40638223,54.9401935,54.52305187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/2/1,78.5059522,59.90369109,60.7355953,119.9822513,101.634567,143.4655179,82.78473139,56.97642748,63.13455328,58.65511188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/3/1,55.24686611,45.22398772,47.5262727,71.01619691,63.86145091,74.3655169,53.10335422,43.88348233,46.70269398,44.15043104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/4/1,88.26801974,77.19512073,82.04203311,99.02305169,93.85348904,106.3586234,88.68752094,75.1028547,81.83617815,72.74038378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/5/1,166.2645393,145.8003013,157.2423744,174.8066453,169.7269362,179.3862166,161.8484158,141.0763616,155.0197682,136.99411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/6/1,74.56592787,61.85595452,68.24296944,78.16947065,77.02480923,78.69654879,73.0789592,58.95796045,67.74995289,57.24956698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/7/1,75.79531385,63.38994274,68.81601754,83.93728243,80.40490706,85.18276483,75.19171338,61.98288699,67.76402299,61.43587739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/8/1,106.1613719,99.90726318,101.6728818,123.2673956,112.1790649,125.8655231,102.9661104,98.80608689,99.65355821,98.92131921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/9/1,62.16250829,55.51059689,57.8437288,69.0421616,65.03882578,68.54827759,60.12150972,54.37004575,56.93414628,52.89462575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/10/1,255.6337033,237.8511217,236.0311896,313.5955204,279.175578,317.0689724,247.8553199,230.5408404,231.3828337,229.2892457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/11/1,140.3021541,130.6343476,130.3310199,161.3551454,151.8883306,171.8413876,140.4907788,127.277479,130.8712911,125.4102268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/12/1,78.45984663,80.13666862,74.95746164,84.97071705,83.60686739,98.92758697,82.56061178,79.05525707,77.52068113,80.467247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/1/1,96.9889155,85.83892737,82.06533961,118.6156813,108.5870266,138.3724207,96.0957154,80.88025509,83.80792726,83.15321016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/2/1,58.85744299,44.11493968,45.02966377,90.34797794,76.36690286,104.5758616,61.44934912,42.03581048,46.81859862,43.39081384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
