#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2015/1/1,45.62432016,37.67940453,37.20178051,58.40591963,52.40370894,67.17241441,45.03110026,36.59654572,38.52276448,37.50814429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/2/1,68.40158357,50.51803688,51.6020344,106.9975123,89.93293333,125.7138012,72.21414965,48.2301069,54.07286726,49.78076385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/3/1,80.02748184,66.90803817,70.11364202,100.0714451,90.89411509,105.2896576,76.43128177,64.50195493,68.34542528,64.41924286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/4/1,74.42273703,65.21053415,69.28754364,82.40197176,78.53129846,85.89999679,74.20456368,63.68701215,69.25619897,61.8977476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/5/1,171.0767616,150.270533,161.6937308,181.094086,175.7842933,188.8482759,168.9909689,145.5207973,160.589634,141.7168119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/6/1,134.1134906,114.023398,124.2018648,137.9951166,136.9537623,136.7482772,131.6386439,109.1292837,123.5903992,106.922533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/7/1,157.8516806,139.7201824,147.8782246,170.370826,164.5437855,170.648269,156.7339838,136.6277836,145.6516737,136.827215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/8/1,199.5192549,190.0828014,191.831359,234.9251313,214.109218,255.8275931,202.0938572,188.5712487,191.0134174,189.939171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/9/1,73.52760813,66.82815464,69.37195457,78.42170804,75.41035715,77.40000862,71.06443184,65.35675891,68.3119966,63.73293261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/10/1,87.50943482,75.05065493,76.14101423,118.9619967,102.0100869,126.1068931,87.45558386,73.54129318,75.76026149,73.15476794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/11/1,82.17745452,72.35208246,74.40652459,97.67487165,91.00179985,104.3827574,83.35847436,72.57679943,76.18541318,71.47365753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/12/1,43.34996844,41.10125002,39.37610191,50.75347948,48.62857083,61.82758566,47.56480402,42.43873736,42.48373848,43.7812824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/1/1,62.11209832,53.87773621,52.24177804,75.44818752,69.01630264,86.13104276,60.13482684,51.15082268,53.148982,52.28023747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/2/1,48.0276782,35.01952442,36.48669668,75.72782908,63.3255741,90.55172628,50.60381679,33.80488114,37.81849819,34.59237655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/3/1,48.11355393,38.74738043,41.15398283,62.16448907,55.64836658,64.38275759,45.43473014,37.71734322,40.16880058,37.73084971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/4/1,71.19936564,61.90148961,66.37161056,77.96905555,74.37840954,80.06207086,69.56024047,60.20795945,65.60950323,58.01230714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/5/1,165.1481319,144.6449416,156.1590709,173.0393566,168.3159253,176.6034479,160.6695536,140.0669689,154.1891292,136.1013959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/6/1,40.73059006,32.45571391,36.60186603,42.81401972,42.1470016,41.96207103,39.33798993,31.11246203,36.26128133,30.00260062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/7/1,109.6423702,89.59160866,97.95237478,130.7888895,120.5137967,138.2448338,110.0925536,88.80217848,96.96250143,87.92859568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/8/1,55.0583925,50.94386935,52.0800004,66.00550415,59.32933529,70.92759172,54.28854793,50.35540614,51.14085481,50.31507948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/9/1,25.73400899,18.23785686,21.43322105,31.10581532,28.34940053,29.81724172,23.79580962,18.18603589,20.86173843,16.78509493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/10/1,100.3560426,89.65226425,90.51135258,127.6881666,111.8561128,130.5999969,97.79720006,87.52785038,89.16768053,86.73015671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/11/1,134.7573751,124.7692863,124.9493203,153.4461112,145.536149,161.7310407,135.0337962,122.4506774,126.0803371,120.9733114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
